file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,corpus,-47.392278573754474,-47.656841044523276,7.044669371927271,8.947840621647916
F2BJRLP2,0.0,28.6474375,corpus,-47.426188917975566,-48.08377762797484,6.983922519752539,4.772752075108544
F2BJRLP1,0.0,25.309125,corpus,-45.667748049190045,-46.35919407435826,5.262688735181591,8.139914405698779
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.809270833333336,-53.5691531254695,3.6350939425679956,11.443148868500742
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.21604494552058,-52.3443362896259,2.5234452597547716,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.85465830380155,-50.916524251302086,2.089418876370778,12.358243745435463
